title,link,address,description,village,subdistrict,city,bedrooms,bathrooms,building_size,land_size,car_spaces,floors_total,maidrooms,price
"Dijual Rumah Di Kebun Jeruk Intercon Jakarta Barat, DKI Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-di-kebun-jeruk-intercon-jakarta-barat-16971799684/,"Kembangan, Jakarta Barat","Dijual Rumah Mewah Harga Terbaik Di Kebun Jeruk Intercon Jakarta Barat   Lingkungan asri nyaman Siap huni Dekat tol berbagai fasilitas yg telah ada   Lt.800m² (20x40) Lb.1200m² Kt.5+3 Km.5+2 Swiming pool Semi Funished (yg menempel) Hadap Selatan SHM on hand  Harga: 27 Milyar nego wajar  Info lebih lanjut, hub. Felly Sung - VERDE Property",JOGLO,KEMBANGAN,JAKARTA BARAT,5,5,1200,800,2,2,3,27000000000
Rumah Mewah Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-mewah-jakarta-barat-171742748826/,"Kembangan, Jakarta Barat","LT : 535 LB : 700 Blantai : 2 K.tdr : Atas 3 , Bawah 2(kamar art).K.mandi : Atas 3(setiap kamar ada kamar mandi), Bawah 2.ada ruang apa sj : Ruang tamu, Ruang Makan, Ruang Studio mini, Ruang keluarga diatas, Balkon.lantai jenis apa : Granit Listrik : 11.000 watt Air Jetpump (Toren 2) ada halaman dibelakang rumah carport 2 mobil(depan) garasi 2 mobil carport 2 mobil (pintu samping) Fasilitas : kolam renang security perumahan 24jam (pos disamping rumah) studio mini water heater Luas kolam renang kurang lebih (6x10m) surat SHM perum permata buana Jakarta Barat harga : 17m Nego smp Deal.",JOGLO,KEMBANGAN,JAKARTA BARAT,6,5,700,535,0,1,0,17000000000
"Dijual Rumah di Puri Indah Boulevard Jakarta Barat, Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-di-puri-indah-boulevard-jakarta-barat-170530884920/,"Puri Indah, Jakarta Barat","Rumah rapi, siap huni, ada halaman depan belakang. Garasi 2 mobil, carport 2 mobil. Furnished ( kecuali elektronik alay GYM) Lingkungan nyaman, keamanan 24 jam 1 gate Sistem. Lokasi strategis.  Info lebih lanjut hub : FELLY SUNG - VERDE Property",KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,6,4,720,600,4,1,0,22000000000
Rumah Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-jakarta-barat-171412170068/,"Grogol Petamburan, Jakarta Barat",Lokasi dekat dengan : SDN Jelambar 01 Pagi : 160 m Stasiun Grogol : 950 m Indomaret Empang Bahagia : 200 m,JELAMBAR,GROGOL PETAMBURAN,JAKARTA BARAT,2,1,100,48,0,1,0,1676400000
Rumah jakarta barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-jakarta-barat-171412070442/,"Grogol Petamburan, Jakarta Barat","Dekat dengan  Mall Seasons City : 850 m Gerbang Tol Jelambar : 1,7 km  SPBU Pertamina Jelambar : 350 m",JELAMBAR BARU,GROGOL PETAMBURAN,JAKARTA BARAT,2,1,150,57,0,1,0,2039120000
Tanjung Duren Jakarta Barat rumahtuajualcepathargatanah,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/tanjung-duren-jakarta-barat-rumahtuajualcepatharga-171836646463/,"Tanjung Duren, Jakarta Barat",Dijual Cepatharga tanah sajaarea strategisTanjung DurenJakarta Barat,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,1,1,100,110,1,1,1,1500000000
Perumahan Aria Puri Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/perumahan-aria-puri-jakarta-barat-170435684711/,"Puri Indah, Jakarta Barat",9 Reasons to buy ARIA PURI Jakarta Barat1.Located in The Center Hub of West Jakarta Corridor2.5 minutes to Outer Ring Road and Jakarta-Merak Highway3.One Step Away to Surrounding Facilities4.One Gate Sistem5.Smart Home Living with 24 Hours Security CCTV6.Exclusive and Private Club House7.Optional Layout are available8.More than 50% Green Areawith more than 20 Facilities9.Modern Facadewith Spacious Living AreaOnly 4 Units leave from 28 Units.,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,4,4,130,66,2,1,0,2879000000
Rumah Termurah Di Seluruh Jakarta,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-termurah-di-seluruh-jakarta-17169439784/,"Cengkareng, Jakarta Barat","Dijamin TERMURAH DI SELURUH JAKARTA! Dijual Rumah di Permata Taman Palem, Cengkareng. Jakarta Barat  LT: 141 m2 (9,4 x 15) 2 lantai full Kitchen set tinggal KT 4+1 KM 3+1 (ada 1 kamar tidur + kamar mandi dalam) 1 carport Listrik: 3500 watt Air: WTP Hadap : Selatan dan Timur Surat : SHM Harga : 2,6 M nego tipis",CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,4,3,282,141,1,2,1,2600000000
Taman Meruya Ilir Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/taman-meruya-ilir-jakarta-barat-169701231320/,"Meruya, Jakarta Barat","Rumah Taman Meruya Ilir Jakarta Barat  Luas Tanah 469 m2 hoek Luas bangunan 465+ m2 // 3 Lantai Kamar tidur 6+1 Kamar mandi 3+1 Listrik 4400w + 3500w Air Pam + Tanah Carport + garasi (6 mobil) Dapur basah + kering Lantai marmer, atap baja ringan, solarhart Hadap Utara Barat SHM Harga Jual 9,8 M nego Now 9,5 M nego  gama.nextgen",MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,6,3,465,469,0,1,0,9000000000
Rumah 3  Krendang Barat Jakarta,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-3-krendang-barat-jakarta-171489792079/,"Meruya, Jakarta Barat","Cocok untuk usaha konveksi, Listrik 5500W, hadapnUtara, pam&sumur pantek,SHGB.",KRENDANG,TAMBORA,JAKARTA BARAT,3,3,56,56,0,1,0,1400000000
