bedrooms,bathrooms,building_size,land_size,car_spaces,floors_total,maidrooms,village,subdistrict,city,price
3,3,100.0,54.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,1250000000.0
5,3,180.0,182.0,2,1,0,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,3300000000.0
4,3,250.0,110.0,0,1,0,MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,4500000000.0
3,3,200.0,110.0,2,1,0,TOMANG,GROGOL PETAMBURAN,JAKARTA BARAT,4300000000.0
2,1,45.0,62.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,850000000.0
2,2,50.0,49.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,888000000.0
4,3,123.0,90.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,4000000000.0
5,4,116.0,120.0,0,1,0,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,2700000000.0
4,4,250.0,103.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,3300000000.0
5,5,200.0,196.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,4700000000.0
4,4,120.0,75.0,0,1,0,KEBAGUSAN,PASAR MINGGU,JAKARTA SELATAN,2125000000.0
8,4,300.0,210.0,2,1,0,DUREN TIGA,PANCORAN,JAKARTA SELATAN,7000000000.0
3,3,300.0,270.0,2,1,0,DUREN TIGA,PANCORAN,JAKARTA SELATAN,5900000000.0
6,5,530.0,200.0,0,1,0,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,10000000000.0
1,1,21.0,26.0,1,1,0,TANJUNG PRIOK,TANJUNG PRIOK,JAKARTA UTARA,292000000.0
4,4,200.0,111.0,2,1,0,PENGGILINGAN,CAKUNG,JAKARTA TIMUR,1400000000.0
2,1,45.0,62.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,850000000.0
2,1,45.0,62.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,850000000.0
6,3,270.0,160.0,0,1,0,SUNTER JAYA,TANJUNG PRIOK,JAKARTA UTARA,3950000000.0
2,2,29.0,29.0,0,1,0,CIRACAS,CIRACAS,JAKARTA TIMUR,578000000.0
3,3,200.0,140.0,0,1,0,KEMANGGISAN,PALMERAH,JAKARTA BARAT,1749000000.0
6,6,250.0,128.0,0,1,0,KEBAGUSAN,PASAR MINGGU,JAKARTA SELATAN,4000000000.0
4,1,150.0,196.0,0,1,0,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,5500000000.0
5,3,123.0,90.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,4065869208.0
3,2,275.0,167.0,0,1,0,MALAKA JAYA,DUREN SAWIT,JAKARTA TIMUR,1300000000.0
4,3,188.0,205.0,0,1,0,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,1700000000.0
3,3,140.0,77.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,1873000000.0
4,4,120.0,105.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,1850000000.0
4,4,245.0,210.0,0,1,0,JOGLO,KEMBANGAN,JAKARTA BARAT,3900000000.0
8,5,250.0,400.0,0,1,0,PENGADEGAN,PANCORAN,JAKARTA SELATAN,13500000000.0
5,3,295.0,145.0,0,1,0,KOJA,KOJA,JAKARTA UTARA,3900000000.0
5,4,190.0,205.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,2600000000.0
4,4,150.0,69.0,0,1,0,CIGANJUR,JAGAKARSA,JAKARTA SELATAN,1775000000.0
3,2,60.0,60.0,0,1,0,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,1250000000.0
5,4,190.0,205.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,2600000000.0
5,5,180.0,126.0,0,1,0,CIGANJUR,JAGAKARSA,JAKARTA SELATAN,2450000000.0
3,3,120.0,81.0,1,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,1350000000.0
4,3,220.0,133.0,0,1,0,PONDOK PINANG,KEBAYORAN LAMA,JAKARTA SELATAN,2200000000.0
2,1,45.0,60.0,0,1,0,CILANGKAP,CIPAYUNG,JAKARTA TIMUR,750000000.0
4,2,200.0,250.0,0,1,0,JATI PADANG,PASAR MINGGU,JAKARTA SELATAN,5000000000.0
3,1,100.0,81.0,0,1,0,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,3000000000.0
4,3,450.0,300.0,0,1,0,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,6000000000.0
3,2,75.0,51.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,900000000.0
3,1,180.0,140.0,2,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,3000000000.0
4,4,180.0,132.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,2850000000.0
5,4,231.0,136.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,6900000000.0
4,5,180.0,130.0,0,1,0,TANJUNG BARAT,JAGAKARSA,JAKARTA SELATAN,2400000000.0
4,4,250.0,176.0,0,1,0,CIPINANG,PULO GADUNG,JAKARTA TIMUR,3950000000.0
6,6,500.0,290.0,2,1,0,KALIDERES,KALI DERES,JAKARTA BARAT,2900000000.0
4,3,200.0,125.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,2350000000.0
4,2,106.0,89.0,1,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,1450000000.0
4,3,250.0,110.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,1800000000.0
3,2,50.0,50.0,0,1,0,CILANGKAP,CIPAYUNG,JAKARTA TIMUR,760000000.0
3,3,146.0,90.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,4300000000.0
3,3,100.0,86.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,1880000000.0
3,3,348.0,154.0,0,1,0,TOMANG,GROGOL PETAMBURAN,JAKARTA BARAT,8000000000.0
2,1,150.0,54.0,0,1,0,JELAMBAR BARU,GROGOL PETAMBURAN,JAKARTA BARAT,1944000000.0
4,4,191.0,89.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,2900000000.0
