title,link,address,price,description,bedrooms,bathrooms,building_size,land_size,car_spaces,floors_total,maidrooms
Dijual Rumah Jakarta Garden City Jakarta timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-jakarta-garden-city-jakarta-timur-171031533262/,"Cakung, Jakarta Timur",2600000000,RUMAH 2 LANTAI Jakarta Garden City Jakarta Kt.5 Km.5 Listrik 2200 Air jet pump 2 Lantai Hadap utara Akses/Fasilitas Taman Bangunan Sudah Full di belakang Jalan lebar 2 mobil Keamanan 24 jam Aeon Mall IkEA Tol Jor exit Cakung TOL Klapa Gading Sekolah Global Mandiri Sekolah Internasional Singapore.,5,5,130,102,0,1,0
Dijual Rumah Jakarta Garden City - Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-jakarta-garden-city-jakarta-timur-169693526371/,"Cakung, Jakarta Timur",2000000000,Dijual Rumah Jakarta Garden City - Cakung - Jakarta Timur uk 6x17m= 102m² 2 Lantai  3+1 Kamar tidur 2+1 Kamar mandi SHM PLN 2.200 Watt Hadap selatan  Lingkungan nyaman Keamanan 24 jam Strategis dekat dengan Aeon Mall dan Ikea,3,2,102,102,0,1,0
Rumah Murah Di Jagakarsa Jakarta Selatan Jakarta,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/rumah-murah-di-jagakarsa-jakarta-selatan-jakarta-171342631091/,"Jagakarsa, Jakarta Selatan",1250000000,"Hunian Cluster Mewah Type Modern Classic, Strategis dekat Ke Tol Kukusan Dan Andara Lokasi M.kahfi 2.Jagakarsa Jakarta Selatan Luas Tanah 54 m2 Luas Bangunan 100 m2 Kamar Tidur 3 Kamar Mandi 2 Bangunan 2 Lantai Listrik 2200 watt Carport Hadap Barat Legalitas Clean n Clear Sertifikat Hak Milik, IMB Sudah Pecah Selling Point : Dekat Tol Simatupang dan Tol Andara Dekat Pusat Perbelanjaan Transmart Cilandak Dekat Stasiun dan Pasar Lenteng Agung Dekat Rumah Sakit Cilandak dan RS.Fatmawati Dekat Objek wisata Ragunan dan Setu Babakan Dekat Sekolah Ternama & sekolah.",3,3,100,54,0,1,0
Rumah Ready Unit di Bekasi nempel jakarta timur & Jakarta Utara,https://www.lamudi.co.id/jual/jawa-barat/bekasi/rumah-ready-unit-di-bekasi-nempel-jakarta-timur-ja-171405383991/,"Harapan Indah, Bekasi",800000000,Rumah Ready Unit di Bekasi nempel jakarta timur & Jakarta Utara 2 kamar tidur 1 kamar mandi Lokasi dekat ke Jakarta Timur Lokasi dekat ke jakarta utara 3 menit dari new kelapa gading 3 menit dari kota harapan indah 15 menit ke jgc cakung 15 menit ke AOEN mall 30 Menit ke Kelapa Gading.,2,1,36,90,0,1,0
Vastu Rumah 3 lantai mewah Jakarta Garden City Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/vastu-rumah-3-lantai-mewah-jakarta-garden-city-jak-171377537234/,"Cakung, Jakarta Timur",4919966800,"Rumah baru di Cluster terbaru Vastu Perumahahan Jakarta Garden City Cakung Jakarta Timur.Mewah dengan living room luas Lokasi di Bulevar Gerbang cluster besar & mewah Clubhouse dilengkapi Jacuzzi dan working area.Designer ternama.Tersedia unit pilihan: V7 (7×15) LT 105/ LB 140, 2 lantai V7 (7×15) LT 105/ LB 194, 3 lantai V9 (9×15) LT 135/ LB 250, 3 lantai Kavling Harga tertera adalah Type V9 (9x15) Kamar tidur 4+1, Kamar mandi 5+1, Carport 2+1.Kawasan Perumahan Jakarta Garden City akses tol langsung, 15 menit ke Kelapa Gading, Kawasan Eco Township Jakarta, Fasilitas lengkap.",4,5,250,135,0,1,0
"Dijual Rumah di Jakarta Garden City Cluster Thames,cakung Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-jakarta-garden-city-cluster-thames-170436170739/,"Cakung, Jakarta Timur",1700000000,"Dijual Rumah di Jakarta Garden City Cluster Thames,cakung Jakarta TimurDIJUAL rumah di Jakarta Garden City cluster THAMES,cakung Jakarta TimurLT 90 m2(6x15)LB 70 m2KT 3+1KM 2+1Lantai 2Carport 1Air pamListrik 5500 wattHadap selatanSHMHarga 1,7M(nego)Edlie/M1",4,3,70,90,0,1,0
Rumah Bagus Di Jalan Jakarta Garden City Area Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-bagus-di-jalan-jakarta-garden-city-area-jaka-169535479773/,"Cakung, Jakarta Timur",2600000000,"Dijual : Rumah Doi Jakarta Garden City Area Jakarta Timur. Luas tanah 6 x 17 m2. 2BR, 2 Kamar mandi Rumah 2 Lantai, Kosong, Listrik, Rumah bagus, Aman, bebas banjir, Lokasi strategis dengan jalan raya, Dekat dengan pusat bisnis, Dekat dengan pusat perbelanjaan, Sekolah, RS, Jual cepat, harga masih bisa nego, Bisa KPR. (Rmh-J/11164)",2,2,122,102,0,1,0
Rumah Di Cluster Mahakam Jakarta Garden City Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-di-cluster-mahakam-jakarta-garden-city-jakar-172196772973/,"Cakung, Jakarta Timur",1950000000,"Dijual rumah di cluster Mahakam Jakarta Garden City
Cakung Jakarta Timur

Luas tanah 90m2
Luas bangunan 69m2
Kamar tidur 2
Kamar mandi 2
Daya listrik 2200watt
PAM
SHM

Harga 1,950 M nego

EvEndM3
RA #ID: 160559",2,2,69,90,0,1,0
"House for Sale in Jakarta Selatan, DKI Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/house-for-sale-in-jakarta-selatan-dki-jakarta-171705850970/,"Bintaro, Jakarta Selatan",3300000000,"House for Sale in Jakarta Selatan, DKI Jakarta [FOR SALE] - RUMAH BINTARO JAYA SEKTOR 1, JAKARTA SELATAN  SPESIFIKASI : LT : 182 m LB : Kamar Tidur : 4+1 Kamar Mandi : 2+1 bangunan : 3 Lantai Listrik : 3500 Watt Sertifikat : SHM ch",5,3,180,182,2,1,0
Dijual Rumah Termurah  di Shinano Jakarta Garden City Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-termurah-di-shinano-jakarta-garden-ci-171945942868/,"Cakung, Jakarta Timur",1550000000,"Dijual Rumah Termurah di Shinano Jakarta Garden City Jakarta Timur Luas tanah 75m² Luas bangunan 100m² 2 Lantai Kamar tidur 2 Kamar mandi 2 Listrik 3.500watt Air pam Sertifikat PPJB Ac 3 unit Semi furnished Bagian belakang sudah ditutup rapi Menjadi dapur Harga 1,550m nego KPR bisa dibantu Ok.",2,2,100,75,0,1,0
